AGE_HEAD,AGE_WIFE,BEHIND_ON_MORTGAGE,BEST_INCOME,CC_ANNUAL_2018,CC_WEEKLY_2018,DEFAULT,DRMI,DRMI_COMMON,DRMI_COMMON_W,DRMI_W,DSV_ANNUAL,DSV_ANNUAL_W,DSV_COMMON,DSV_COMMON_W,DSV_FULL,DSV_FULL_W,DTI_PROXY,DTI_PROXY_V2,DTI_PROXY_W,EAD,FAMILY_ID,FAMILY_INCOME,FORECLOSURE,HAS_MORTGAGE,HEAD_EMPLOY_MENTION1,HEAD_EMPLOY_MENTION2,HEAD_EMPLOY_MENTION3,HOME_VALUE,HOME_VALUE_W,IS_HOMEMAKER,LOG_DRMI_COMMON,LOG_DSV_COMMON,LOG_HOME_VALUE,LOG_MORTGAGE_BALANCE,LOG_WIFE_WAGES_SALARY_RAW,LTV,LTV_W,MARITAL_STATUS,MONTHLY_INCOME,MORTGAGE_BALANCE,MORTGAGE_BALANCE_W,MORTGAGE_PAYMENT_MO,N_CHILDREN,OWN_RENT,RE_BUFFER,STATE,WIFE_EMPLOY_MENTION1,WIFE_EMPLOY_MENTION2,WIFE_EMPLOY_MENTION3,WIFE_HAS_WAGES,WIFE_HRS_ADULT_CARE,WIFE_HRS_ADULT_CARE_W,WIFE_HRS_CHILDCARE,WIFE_HRS_CHILDCARE_W,WIFE_HRS_HOUSEWORK,WIFE_HRS_HOUSEWORK_W,WIFE_WAGES_SALARY_RAW,WIFE_WAGES_SALARY_RAW_W,YEAR
40.0,40.0,5,67000.0,7022.08,135.04,0.0,1.3693333333333333,0.8597333333333335,0.8597333333333335,1.3693333333333333,36972.0,36972.0,23212.800000000003,23212.800000000003,36972.0,36972.0,,0.2597014925373134,,135000.0,2.0,0,0,1,1.0,0,0,275000.0,275000.0,0,0.6204331082711401,10.052502208400805,12.524530013005734,11.81303746480054,11.112462823634855,0.4909090909090909,0.4909090909090909,1,0.0,135000.0,135000.0,1450,1,1,36972.0,34,1.0,0,0,1,5.0,5.0,10.0,10.0,10.0,10.0,67000.0,67000.0,2019
74.0,76.0,5,,8190.0,157.5,0.0,11.597820000000002,6.782100000000001,6.782100000000001,11.597820000000002,46391.280000000006,46391.280000000006,27128.4,27128.4,46391.280000000006,46391.280000000006,,,,20000.0,5.0,0,0,1,4.0,0,0,55000.0,55000.0,0,2.0518262246468515,10.208373289669389,10.915106645867503,9.90353755128617,0.0,0.3636363636363636,0.3636363636363636,1,0.0,20000.0,20000.0,400,0,1,46391.280000000006,35,4.0,0,0,5,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,2019
45.0,42.0,5,,12255.23,235.6775,0.0,1.3155566666666665,0.8536666666666667,0.8536666666666667,1.3155566666666665,78933.4,78933.4,51220.0,51220.0,78933.4,78933.4,,,,300000.0,8.0,0,0,1,1.0,0,0,750000.0,750000.0,0,0.6171656595373172,10.843904883186518,13.527829818844936,12.611541086966117,0.0,0.4,0.4,1,0.0,300000.0,300000.0,1694,2,1,78933.4,4,4.0,6,0,5,0.0,0.0,40.0,40.0,20.0,20.0,0.0,0.0,2019
35.0,33.0,5,27800.0,7022.08,135.04,0.0,51.81614285714285,43.252114285714285,43.252114285714285,51.81614285714285,72542.59999999999,72542.59999999999,60552.96,60552.96,72542.59999999999,72542.59999999999,,0.116546762589928,,7000.0,13.0,0,0,1,6.0,0,0,10000.0,50000.0,0,3.789903150780608,11.011290147338178,10.819798284210286,8.853808274977197,10.2328272702548,0.7,0.7,1,0.0,7000.0,7000.0,270,3,1,72542.59999999999,34,1.0,0,0,1,0.0,0.0,60.0,60.0,12.0,12.0,27800.0,27800.0,2019
36.0,34.0,5,,6674.2,128.35,0.0,19.487156,17.533568,17.533568,19.487156,194871.56,194871.56,175335.68,175335.68,194871.56,194871.56,,,,50000.0,14.0,0,0,1,1.0,0,0,175000.0,175000.0,1,2.9195835743787697,12.074463290322043,12.07254696717504,10.819798284210286,5.525452939131784,0.2857142857142857,0.2857142857142857,1,0.0,50000.0,50000.0,357,3,1,194871.56,41,6.0,1,0,1,0.0,0.0,168.0,168.0,40.0,40.0,250.0,250.0,2019
61.0,61.0,5,46900.0,8823.1,169.675,0.0,20.885583333333333,11.3035,11.3035,20.885583333333333,50125.4,50125.4,27128.4,27128.4,50125.4,50125.4,,0.4349680170575692,,12000.0,28.0,0,0,1,1.0,0,0,325000.0,325000.0,0,2.5098837747464176,10.208373289669389,12.691583538230216,9.39274525863144,10.75579427616868,0.0369230769230769,0.0369230769230769,1,0.0,12000.0,12000.0,1700,0,1,50125.4,42,4.0,6,0,1,0.0,0.0,0.0,0.0,30.0,30.0,46900.0,46900.0,2019
59.0,53.0,5,70000.0,,,0.0,2.08696,1.80272,1.80272,2.08696,27130.48,27130.48,23435.36,23435.36,27130.48,27130.48,,0.1203428571428571,,65000.0,40.0,0,0,1,1.0,0,0,225000.0,225000.0,0,1.0305903742212,10.062043941529804,12.323860125621126,11.082157933374816,11.156264806643742,0.2888888888888888,0.2888888888888888,1,0.0,65000.0,65000.0,702,0,1,27130.48,24,1.0,4,0,1,0.0,0.0,1.0,1.0,25.0,25.0,70000.0,70000.0,2019
26.0,27.0,5,11000.0,5655.0,108.75,0.0,7.541408333333332,6.198291666666666,6.198291666666666,7.541408333333332,72397.51999999999,72397.51999999999,59503.6,59503.6,72397.51999999999,72397.51999999999,,0.5345454545454545,,48000.0,45.0,0,0,1,1.0,0,0,65000.0,65000.0,0,1.9738437293508628,10.993808899469755,11.082157933374816,10.778977123006351,9.305741456739437,0.7384615384615385,0.7384615384615385,1,0.0,48000.0,48000.0,490,2,1,72397.51999999999,15,1.0,0,0,1,0.0,0.0,50.0,50.0,20.0,20.0,11000.0,11000.0,2019
71.0,64.0,5,,6668.4800000000005,128.24,0.0,0.8358202609259965,0.5311913979457114,0.5311913979457114,0.8358202609259965,29880.24,29880.24,18989.88,18989.88,29880.24,29880.24,,,,178748.0,51.0,0,0,1,4.0,0,0,210000.0,210000.0,0,0.4260461238492256,9.8517141429117,12.25486757159303,12.093737866135012,0.0,0.8511809523809524,0.8511809523809524,1,0.0,178748.0,178748.0,997,0,1,29880.24,10,1.0,6,0,5,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,2019
54.0,50.0,5,,15340.0,295.0,0.0,2.895862068965517,1.943589655172414,1.943589655172414,2.895862068965517,33592.0,33592.0,22545.640000000003,22545.640000000003,33592.00000000001,33592.00000000001,,,,58000.0,55.0,0,0,1,1.0,0,0,150000.0,150000.0,1,1.079629807718573,10.023341331611595,11.918397239722838,10.968215530759236,0.0,0.3866666666666666,0.3866666666666666,1,0.0,58000.0,58000.0,876,1,1,33592.0,19,6.0,0,0,5,2.0,2.0,8.0,8.0,15.0,15.0,0.0,0.0,2019
64.0,55.0,5,40000.0,13757.38,264.565,0.0,68.30850000000001,28.25875,28.25875,67.38023669565217,109293.6,109293.6,45214.0,45214.0,109293.6,109293.6,,0.21,,8000.0,64.0,0,0,1,1.0,0,0,150000.0,150000.0,0,3.3761786742419773,10.71918416917458,11.918397239722838,8.987321812850125,10.59665973278358,0.0533333333333333,0.0533333333333333,1,0.0,8000.0,8000.0,700,0,1,109293.6,37,1.0,0,0,1,0.0,0.0,0.0,0.0,50.0,50.0,40000.0,40000.0,2019
44.0,39.0,5,80000.0,,,0.0,0.7650552000000002,0.361712,0.361712,0.7650552000000002,38252.76000000001,38252.76000000001,18085.6,18085.6,38252.76000000001,38252.76000000001,,0.255,,250000.0,66.0,0,0,1,1.0,7,0,260000.0,260000.0,0,0.3087427316233321,9.802926611581514,12.468440756144114,12.429220196836384,11.289794413577894,0.9615384615384616,0.9615384615384616,1,0.0,250000.0,250000.0,1700,0,1,38252.76000000001,26,1.0,0,0,1,0.0,0.0,0.0,0.0,20.0,20.0,80000.0,80000.0,2019
70.0,67.0,5,,,,0.0,0.6528785714285715,0.1614785714285714,0.1614785714285714,0.6528785714285715,18280.6,18280.6,4521.400000000001,4521.400000000001,18280.6,18280.6,,,,140000.0,80.0,0,0,1,4.0,1,0,250000.0,250000.0,0,0.149693824008267,8.416798105361082,12.429220196836384,11.849404844423074,0.0,0.56,0.56,1,0.0,140000.0,140000.0,1300,0,1,18280.6,13,4.0,0,0,5,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2019
29.0,32.0,5,43000.0,12255.23,235.6775,0.0,5.556228888888889,4.744841111111112,4.744841111111112,5.556228888888889,200024.24,200024.24,170814.28,170814.28,200024.24,200024.24,,0.3823255813953488,,180000.0,81.0,0,0,1,1.0,0,0,190000.0,190000.0,1,1.748302254018541,12.048338017693492,12.154784614286667,12.100717685412471,10.66897865021924,0.9473684210526316,0.9473684210526316,1,0.0,180000.0,180000.0,1370,1,1,200024.24,4,6.0,2,0,1,0.0,0.0,168.0,168.0,35.0,35.0,43000.0,43000.0,2019
64.0,67.0,5,510.0,7022.08,135.04,0.0,2.5780970251358424,1.7674836792932254,1.7674836792932254,2.5780970251358424,26380.12,26380.12,18085.6,18085.6,26380.12,26380.12,,2.0,,51162.0,85.0,0,0,1,4.0,0,0,135000.0,135000.0,0,1.017938488308912,9.802926611581514,11.81303746480054,10.842771893535703,8.699681400989514,0.3789777777777778,0.3789777777777778,1,0.0,51162.0,51162.0,725,0,1,26380.12,34,1.0,0,0,1,0.0,0.0,0.0,0.0,20.0,20.0,6000.0,6000.0,2019
36.0,34.0,5,63000.0,,,0.0,1.606748,1.0544300000000002,1.0544300000000002,1.606748,32134.96,32134.96,21088.6,21088.6,32134.96,32134.96,,0.2857142857142857,,100000.0,87.0,0,0,1,1.0,0,0,230000.0,230000.0,0,0.7199984372106235,9.956535306958202,12.345838935721968,11.51293546492023,11.050905878263569,0.4347826086956521,0.4347826086956521,1,0.0,100000.0,100000.0,1500,1,1,32134.96,16,1.0,0,0,1,0.0,0.0,20.0,20.0,5.0,5.0,63000.0,63000.0,2019
