STATE_FIPS,N_MARRIED,N_HM,HM_RATE,MEAN_CHILDREN
1,60634,9409.0,0.15517696341986345,0.0
2,8145,1123.0,0.13787599754450583,0.0
4,80301,12384.0,0.15421974819740725,0.0
5,37281,5310.0,0.1424318017220568,0.0
6,482090,71166.0,0.14761973905287396,0.0
8,80255,9566.0,0.11919506572799203,0.0
9,45211,4853.0,0.10734113379487292,0.0
10,10579,1283.0,0.12127800359202193,0.0
11,7044,450.0,0.06388415672913117,0.0
12,230343,32112.0,0.13940948932678657,0.0
13,127165,17800.0,0.13997562222309598,0.0
15,18086,2204.0,0.1218622138670795,0.0
16,24844,3866.0,0.15561101271936886,0.0
17,164663,19488.0,0.11835081347965239,0.0
18,85579,10885.0,0.12719241870084952,0.0
19,42703,3811.0,0.08924431538767769,0.0
20,39103,4470.0,0.11431347978415979,0.0
21,58335,8226.0,0.1410131139110311,0.0
22,47569,7040.0,0.14799554331602513,0.0
23,16571,2026.0,0.12226178263230945,0.0
24,78632,8271.0,0.105186183741988,0.0
25,87784,8292.0,0.09445912694796318,0.0
26,126466,16930.0,0.13386997295715844,0.0
27,78963,6785.0,0.08592631992198878,0.0
28,31030,4486.0,0.14456977118917178,0.0
29,80057,9708.0,0.12126359968522428,0.0
30,13802,1792.0,0.12983625561512824,0.0
31,26805,2420.0,0.09028166386868122,0.0
32,35101,5400.0,0.15384177088971823,0.0
33,18280,1920.0,0.1050328227571116,0.0
34,120914,14139.0,0.1169343500339084,0.0
35,19831,3167.0,0.1596994604407241,0.0
36,237713,28744.0,0.12091892323936848,0.0
37,128923,17705.0,0.13733003420646434,0.0
38,10866,1021.0,0.093962819804896,0.0
39,144909,17291.0,0.1193231614323472,0.0
40,48425,7503.0,0.1549406298399587,0.0
41,52677,6772.0,0.12855705526130948,0.0
42,164876,19410.0,0.11772483563405226,0.0
44,11746,1136.0,0.09671377490209433,0.0
45,60828,8709.0,0.1431741960939041,0.0
46,11639,985.0,0.08462926368244694,0.0
47,87242,12670.0,0.14522821576763487,0.0
48,357790,55533.0,0.15521115738282232,0.0
49,49696,8019.0,0.16136107533805538,0.0
50,8137,696.0,0.08553520953668428,0.0
51,114887,14006.0,0.12191109525011533,0.0
53,105432,14726.0,0.139672964564838,0.0
54,20711,3225.0,0.15571435469074404,0.0
55,81015,7756.0,0.09573535764981793,0.0
56,7721,1039.0,0.13456806113197772,0.0
