applicant_ethnicity_observed,state_code,denial_reason_1,conforming_loan_limit,loan_type,tract_population,total_points_and_fees,co_applicant_age_above_62,co_applicant_age,applicant_ethnicity_3,prepayment_penalty_term,property_value,income,aus_3,balloon_payment,initially_payable_to_institution,tract_minority_population_percent,co_applicant_race_2,interest_only_payment,county_code,reverse_mortgage,co_applicant_race_4,other_nonamortizing_features,derived_loan_product_type,co_applicant_sex,submission_of_application,total_units,derived_msa_md,origination_charges,co_applicant_race_1,open_end_line_of_credit,applicant_race_3,derived_ethnicity,intro_rate_period,hoepa_status,lien_status,tract_owner_occupied_units,action_taken,applicant_ethnicity_2,applicant_race_4,co_applicant_ethnicity_2,applicant_sex_observed,denial_reason_4,derived_race,co_applicant_race_observed,aus_4,applicant_ethnicity_5,debt_to_income_ratio,lei,applicant_race_1,loan_purpose,applicant_credit_score_type,applicant_race_2,co_applicant_ethnicity_1,manufactured_home_secured_property_type,activity_year,occupancy_type,lender_credits,tract_to_msa_income_percentage,applicant_age,co_applicant_race_5,co_applicant_ethnicity_4,co_applicant_ethnicity_5,tract_one_to_four_family_homes,discount_points,total_loan_costs,denial_reason_3,applicant_ethnicity_1,interest_rate,aus_2,business_or_commercial_purpose,co_applicant_sex_observed,derived_dwelling_category,aus_5,construction_method,denial_reason_2,negative_amortization,applicant_age_above_62,combined_loan_to_value_ratio,applicant_race_5,derived_sex,co_applicant_ethnicity_3,co_applicant_ethnicity_observed,tract_median_age_of_housing_units,purchaser_type,rate_spread,applicant_race_observed,loan_term,preapproval,co_applicant_credit_score_type,manufactured_home_land_property_interest,aus_1,loan_amount,census_tract,applicant_sex,multifamily_affordable_units,applicant_ethnicity_4,ffiec_msa_md_median_family_income,co_applicant_race_3
3,FL,10,C,3,2570,,,8888,,,605000,,,2,3,43.15,,2,12105.0,2,,2,VA:First Lien,4,3,1,29460,3710.25,7,2,,Ethnicity Not Available,,2,1,441,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,104.76,111.11,8888,,,,716,,30278.0,,4.0,4.875,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,25,2,,3,348,2,9,5,6,625000,12105012409.0,4,,,74300,
3,NV,10,C,2,7043,,,8888,,,335000,,,2,3,56.92,,2,32003.0,2,,2,FHA:First Lien,4,3,1,29820,3253.91,7,2,,Ethnicity Not Available,,2,1,1383,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,109.65,8888,,,,2057,1168.91,9919.16,,4.0,5.125,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,15,2,,3,360,2,9,5,6,235000,32003003228.0,4,,,83900,
3,WA,10,C,3,3044,,,8888,,,445000,,,2,3,19.02,,2,53077.0,2,,2,VA:First Lien,4,3,1,49420,7190.0,7,2,,Ethnicity Not Available,,2,1,1031,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,131.97,8888,,,,1288,6440.0,13210.41,,4.0,6.0,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,35,2,,3,360,2,9,5,6,355000,53077003004.0,4,,,76600,
3,KS,10,C,2,4079,,,8888,,,355000,,,2,3,10.17,,2,20091.0,2,,2,FHA:First Lien,4,3,1,28140,3054.76,7,2,,Ethnicity Not Available,,2,1,1240,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,166.18,8888,,,,1341,,10519.38,,4.0,5.625,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,37,2,,3,360,2,9,5,6,345000,20091053803.0,4,,,104400,
3,WA,10,C,1,9675,,,8888,,,485000,,,2,3,26.74,,2,53005.0,2,,2,Conventional:First Lien,4,3,1,28420,4607.5,7,2,,Ethnicity Not Available,,2,1,2474,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,128.98,8888,,,,2688,1312.5,6669.18,,4.0,5.875,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,15,1,,3,360,2,9,5,6,255000,53005010815.0,4,,,101700,
3,CA,10,C,4,5540,,,8888,,,235000,,,2,3,49.51,,2,6071.0,2,,2,FSA/RHS:First Lien,4,3,1,40140,4039.24,7,2,,Ethnicity Not Available,,2,1,965,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,62.21,8888,,,,2551,2424.24,9686.98,,4.0,6.0,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,44,2,,3,360,2,9,5,6,245000,6071010415.0,4,,,94500,
3,AZ,10,C,1,4017,,,8888,,,205000,,,2,3,44.29,,2,4019.0,2,,2,Conventional:First Lien,4,3,1,46060,3322.2,7,2,,Ethnicity Not Available,,2,1,904,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,1,2023,1,,70.16,8888,,,,1475,2072.2,6109.2,,4.0,6.0,,2,3,Single Family (1-4 Units):Manufactured,,2,,2,,,,Sex Not Available,,3,30,1,,3,360,2,9,1,6,135000,4019004613.0,4,,,86000,
3,CA,10,C,3,6314,,,8888,,,525000,,,2,3,26.27,,2,6017.0,2,,2,VA:First Lien,4,3,1,40900,7077.5,7,2,,Ethnicity Not Available,,2,1,1738,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,108.93,8888,,,,2460,5407.5,10176.6,,4.0,6.0,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,38,2,,3,360,2,9,5,6,525000,6017031000.0,4,,,113900,
3,CA,10,C,2,4433,,,8888,,,335000,,,2,3,43.85,,2,6071.0,2,,2,FHA:First Lien,4,3,1,40140,3894.66,7,2,,Ethnicity Not Available,,2,1,854,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,1,2023,1,,69.9,8888,,,,1552,1644.66,13438.22,,4.0,6.375,,2,3,Single Family (1-4 Units):Manufactured,,2,,2,,,,Sex Not Available,,3,32,2,,3,360,2,9,1,6,325000,6071009120.0,4,,,94500,
3,MD,10,C,2,3451,,,8888,,,205000,,,2,3,29.04,,2,24510.0,2,,2,FHA:First Lien,4,3,1,12580,1395.0,7,2,,Ethnicity Not Available,,2,1,752,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,132.95,8888,,,,595,,7265.43,,4.0,7.0,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,62,2,,3,360,2,9,5,6,205000,24510272005.0,4,,,121700,
