STATE_ABBR,NDCP_YEAR,CC_INFANT_MEDIAN,CC_TODDLER_MEDIAN,N_COUNTIES,CC_COMPOSITE
AK,2008,,,28,
AK,2009,,,29,
AK,2010,,,29,
AK,2011,,,29,
AK,2012,,,29,
AK,2013,,,29,
AK,2014,203.08,188.08,29,195.58
AK,2015,190.38,198.46,29,194.42000000000002
AK,2016,242.54,226.73,29,234.635
AK,2017,285.0,245.77,29,265.385
AK,2018,336.23,266.19,29,301.21000000000004
AL,2008,98.77,98.77,67,98.77
AL,2009,100.11,100.11,67,100.11
AL,2010,101.44,101.44,67,101.44
AL,2011,102.78,102.78,67,102.78
AL,2012,104.11,104.11,67,104.11
AL,2013,105.45,105.45,67,105.45
AL,2014,105.99,105.99,67,105.99
AL,2015,109.56,109.56,67,109.56
AL,2016,113.18,113.18,67,113.18
AL,2017,116.79,116.79,67,116.79
AL,2018,120.41,120.41,67,120.41
AR,2008,,,75,
AR,2009,,,75,
AR,2010,,,75,
AR,2011,,,75,
AR,2012,,,75,
AR,2013,,,75,
AR,2014,93.75,89.38,75,91.565
AR,2015,95.0,91.5,75,93.25
AR,2016,96.25,93.63,75,94.94
AR,2017,97.5,95.75,75,96.625
AR,2018,98.75,97.88,75,98.315
AZ,2008,145.0,126.0,15,135.5
AZ,2009,147.5,125.5,15,136.5
AZ,2010,150.0,125.0,15,137.5
AZ,2011,153.5,139.5,15,146.5
AZ,2012,160.0,154.0,15,157.0
AZ,2013,161.5,151.43,15,156.465
AZ,2014,163.0,148.85,15,155.925
AZ,2015,166.63,146.08,15,156.35500000000002
AZ,2016,170.25,152.68,15,161.465
AZ,2017,175.0,160.01,15,167.505
AZ,2018,177.5,160.0,15,168.75
CA,2008,227.495,162.075,58,194.785
CA,2009,248.85500000000002,186.82999999999998,58,217.8425
CA,2010,258.74,190.675,58,224.7075
CA,2011,264.85,194.835,58,229.84250000000003
CA,2012,272.95,199.81,58,236.38
CA,2013,271.515,186.99,58,229.2525
CA,2014,260.155,175.94,58,218.04749999999999
CA,2015,261.31,176.325,58,218.8175
CA,2016,256.70000000000005,176.98,58,216.84000000000003
CA,2017,274.94,179.96499999999997,58,227.4525
CA,2018,289.57,181.78500000000003,58,235.6775
CO,2008,,,64,
CO,2009,,,64,
CO,2010,,,64,
CO,2011,,,64,
CO,2012,,,64,
CO,2013,,,64,
CO,2014,,,64,
CO,2015,173.4,169.85,64,171.625
CO,2016,,,64,
CO,2017,,,64,
CO,2018,,,64,
CT,2008,222.5,222.5,8,222.5
CT,2009,225.0,225.0,8,225.0
CT,2010,227.5,227.5,8,227.5
CT,2011,230.0,230.0,8,230.0
CT,2012,244.5,244.5,8,244.5
CT,2013,258.0,258.0,8,258.0
CT,2014,270.75,270.75,8,270.75
CT,2015,283.5,283.5,8,283.5
CT,2016,290.66499999999996,290.66499999999996,8,290.66499999999996
CT,2017,297.83500000000004,297.83500000000004,8,297.83500000000004
CT,2018,305.0,305.0,8,305.0
DC,2008,,,1,
DC,2009,,,1,
DC,2010,,,1,
DC,2011,,,1,
DC,2012,303.58,253.06,1,278.32
DC,2013,,,1,
DC,2014,,,1,
DC,2015,,,1,
DC,2016,,,1,
DC,2017,,,1,
DC,2018,,,1,
DE,2008,130.35,113.92,3,122.13499999999999
DE,2009,135.56,119.4,3,127.48
DE,2010,140.78,124.87,3,132.825
DE,2011,145.99,130.35,3,138.17000000000002
DE,2012,148.07,131.39,3,139.73
DE,2013,150.16,132.43,3,141.29500000000002
DE,2014,158.5,139.21,3,148.85500000000002
DE,2015,166.84,145.99,3,156.41500000000002
DE,2016,171.02,152.94,3,161.98000000000002
DE,2017,175.19,159.89,3,167.54
DE,2018,179.36,166.84,3,173.10000000000002
FL,2008,122.22,105.36,67,113.78999999999999
FL,2009,126.43,109.44,67,117.935
FL,2010,132.68,114.435,67,123.5575
FL,2011,138.155,118.815,67,128.485
FL,2012,142.66500000000002,122.535,67,132.60000000000002
FL,2013,147.89499999999998,127.18,67,137.5375
FL,2014,148.82999999999998,127.685,67,138.2575
FL,2015,150.0,130.0,67,140.0
