FAMILY_ID_2019,STATE_2019,STATE_CURRENT_2019,N_IN_FU,AGE_HEAD,SEX_HEAD,AGE_WIFE,SEX_WIFE,N_CHILDREN,AGE_YOUNGEST_CHILD,MARITAL_STATUS,OWN_RENT,HOME_VALUE,HAS_MORTGAGE,MORTGAGE_BALANCE,MORTGAGE_PAYMENT_MO,MORTGAGE_RATE_TYPE,MORTGAGE_INT_RATE,BEHIND_ON_MORTGAGE,FORECLOSURE,HEAD_EMPLOY_MENTION1,HEAD_EMPLOY_MENTION2,HEAD_EMPLOY_MENTION3,HEAD_WEEKS_EMPLOYED,HEAD_HOURS_LAST_YEAR,HEAD_HOURS_PER_WEEK,WIFE_IN_FU,WIFE_EMPLOY_MENTION1,WIFE_EMPLOY_MENTION2,WIFE_EMPLOY_MENTION3,WIFE_WEEKS_EMPLOYED,WIFE_HOURS_LAST_YEAR,WIFE_HRS_HOUSEWORK,WIFE_HRS_PERSONAL_CARE,WIFE_HRS_SHOPPING,WIFE_HRS_CHILDCARE,WIFE_HRS_ADULT_CARE,WIFE_HRS_VOLUNTEER,WIFE_HRS_EDUCATION,WIFE_HRS_LEISURE,WIFE_HAS_WAGES,WIFE_WAGES_SALARY_RAW,WIFE_BONUS_AMT,WIFE_OVERTIME_AMT,WIFE_OTHER_LABOR_INC,WIFE_WORK_WEEKS_2018,WIFE_WEEKLY_HOURS_2018,HEAD_LABOR_INC_2018,WIFE_WAGES_CLEAN,WIFE_LABOR_INC_TOTAL,FAMILY_INCOME_2018,YEAR,DSV_ANNUAL,RE_BUFFER,EAD,DRMI,LTV,IS_HOMEMAKER,DEFAULT,MONTHLY_INCOME,DTI_PROXY,DSV_COMMON,DSV_FULL,DRMI_COMMON,DRMI_W,DRMI_COMMON_W,DSV_COMMON_W,DSV_FULL_W,DSV_ANNUAL_W,MORTGAGE_BALANCE_W,HOME_VALUE_W,LTV_W,DTI_PROXY_W,WIFE_HRS_HOUSEWORK_W,WIFE_HRS_CHILDCARE_W,WIFE_HRS_ADULT_CARE_W,WIFE_WAGES_SALARY_RAW_W,LOG_DRMI_COMMON,LOG_DSV_COMMON,LOG_MORTGAGE_BALANCE,LOG_HOME_VALUE,LOG_WIFE_WAGES_SALARY_RAW,BEST_INCOME,DTI_PROXY_V2,FAMILY_INCOME_2018_SCALED,STATE_ABBR,CC_WEEKLY_2018,CC_ANNUAL_2018,LOG_CC_ANNUAL
2.0,34,39,4,40.0,1,40.0,2,1,12,1,1,275000.0,1,135000.0,1450,1,2.0,5,0,1.0,0,0,52,55.0,55.0,1,1.0,0,0,52,55.0,10.0,10.0,5.0,10.0,5.0,2.0,0.0,15.0,1,67000.0,0,0,0,1111.0,55.0,,,0.0,0,2019,36972.0,36972.0,135000.0,1.3693333333333333,0.4909090909090909,0,0.0,0.0,,23212.800000000003,36972.0,0.8597333333333335,1.3693333333333333,0.8597333333333335,23212.800000000003,36972.0,36972.0,135000.0,275000.0,0.4909090909090909,,10.0,10.0,5.0,67000.0,0.6204331082711401,10.052502208400805,11.81303746480054,12.524530013005734,11.112462823634855,67000.0,0.2597014925373134,0,OK,135.04,7022.08,8.856957147237528
5.0,35,40,2,74.0,1,76.0,2,0,0,1,1,55000.0,1,20000.0,400,1,4.0,5,0,4.0,0,0,0,0.0,0.0,1,4.0,0,0,0,0.0,30.0,14.0,7.0,0.0,0.0,0.0,0.0,35.0,5,0.0,0,0,0,0.0,0.0,0.0,520.0,0.0,0,2019,46391.280000000006,46391.280000000006,20000.0,11.597820000000002,0.3636363636363636,0,0.0,0.0,,27128.4,46391.280000000006,6.782100000000001,11.597820000000002,6.782100000000001,27128.4,46391.280000000006,46391.280000000006,20000.0,55000.0,0.3636363636363636,,30.0,0.0,0.0,0.0,2.0518262246468515,10.208373289669389,9.90353755128617,10.915106645867503,0.0,,,0,OR,157.5,8190.0,9.010791269515602
8.0,4,6,4,45.0,1,42.0,2,2,10,1,1,750000.0,1,300000.0,1694,1,3.0,5,0,1.0,0,0,52,40.0,40.0,1,4.0,6,0,0,0.0,20.0,15.0,15.0,40.0,0.0,0.0,5.0,25.0,5,0.0,0,0,0,0.0,0.0,0.0,520.0,0.0,0,2019,78933.4,78933.4,300000.0,1.3155566666666665,0.4,0,0.0,0.0,,51220.0,78933.4,0.8536666666666667,1.3155566666666665,0.8536666666666667,51220.0,78933.4,78933.4,300000.0,750000.0,0.4,,20.0,40.0,0.0,0.0,0.6171656595373172,10.843904883186518,12.611541086966117,13.527829818844936,0.0,,,0,CA,235.6775,12255.23,9.413789658122825
13.0,34,39,5,35.0,1,33.0,2,3,4,1,1,10000.0,1,7000.0,270,1,30.0,5,0,6.0,0,0,0,0.0,0.0,1,1.0,0,0,52,40.0,12.0,7.0,6.0,60.0,0.0,0.0,0.0,10.0,1,27800.0,0,0,0,1111.0,40.0,,0.0,0.0,0,2019,72542.59999999999,72542.59999999999,7000.0,51.81614285714285,0.7,0,0.0,0.0,,60552.96,72542.59999999999,43.252114285714285,51.81614285714285,43.252114285714285,60552.96,72542.59999999999,72542.59999999999,7000.0,50000.0,0.7,,12.0,60.0,0.0,27800.0,3.789903150780608,11.011290147338178,8.853808274977197,10.819798284210286,10.2328272702548,27800.0,0.116546762589928,0,OK,135.04,7022.08,8.856957147237528
14.0,41,47,5,36.0,1,34.0,2,3,4,1,1,175000.0,1,50000.0,357,1,6.0,5,0,1.0,0,0,52,50.0,60.0,1,6.0,1,0,21,1.0,40.0,7.0,14.0,168.0,0.0,0.0,0.0,7.0,1,250.0,0,0,0,0.0,0.0,211.0,310.0,0.0,0,2019,194871.56,194871.56,50000.0,19.487156,0.2857142857142857,1,0.0,0.0,,175335.68,194871.56,17.533568,19.487156,17.533568,175335.68,194871.56,194871.56,50000.0,175000.0,0.2857142857142857,,40.0,168.0,0.0,250.0,2.9195835743787697,12.074463290322043,10.819798284210286,12.07254696717504,5.525452939131784,,,0,TX,128.35,6674.2,8.8061544453664
28.0,42,48,2,61.0,1,61.0,2,0,0,1,1,325000.0,1,12000.0,1700,1,3.0,5,0,1.0,0,0,52,40.0,40.0,1,4.0,6,0,4,40.0,30.0,15.0,10.0,0.0,0.0,6.0,0.0,20.0,1,46900.0,0,0,0,1111.0,40.0,,480.0,0.0,0,2019,50125.4,50125.4,12000.0,20.885583333333333,0.0369230769230769,0,0.0,0.0,,27128.4,50125.4,11.3035,20.885583333333333,11.3035,27128.4,50125.4,50125.4,12000.0,325000.0,0.0369230769230769,,30.0,0.0,0.0,46900.0,2.5098837747464176,10.208373289669389,9.39274525863144,12.691583538230216,10.75579427616868,46900.0,0.4349680170575692,0,UT,169.675,8823.1,9.085241893598045
40.0,24,29,2,59.0,1,53.0,2,0,0,1,1,225000.0,1,65000.0,702,1,3.0,5,0,1.0,0,0,52,50.0,50.0,1,1.0,4,0,52,45.0,25.0,2.0,2.0,1.0,0.0,0.0,0.0,10.0,1,70000.0,0,0,0,1111.0,45.0,,,0.0,0,2019,27130.48,27130.48,65000.0,2.08696,0.2888888888888888,0,0.0,0.0,,23435.36,27130.48,1.80272,2.08696,1.80272,23435.36,27130.48,27130.48,65000.0,225000.0,0.2888888888888888,,25.0,1.0,0.0,70000.0,1.0305903742212,10.062043941529804,11.082157933374816,12.323860125621126,11.156264806643742,70000.0,0.1203428571428571,0,MT,,,
45.0,15,20,4,26.0,1,27.0,2,2,1,1,1,65000.0,1,48000.0,490,1,4.0,5,0,1.0,0,0,52,45.0,40.0,1,1.0,0,0,52,25.0,20.0,8.0,6.0,50.0,0.0,0.0,0.0,10.0,1,11000.0,0,0,0,1111.0,25.0,,0.0,0.0,0,2019,72397.51999999999,72397.51999999999,48000.0,7.541408333333332,0.7384615384615385,0,0.0,0.0,,59503.6,72397.51999999999,6.198291666666666,7.541408333333332,6.198291666666666,59503.6,72397.51999999999,72397.51999999999,48000.0,65000.0,0.7384615384615385,,20.0,50.0,0.0,11000.0,1.9738437293508628,10.993808899469755,10.778977123006351,11.082157933374816,9.305741456739437,11000.0,0.5345454545454545,0,KY,108.75,5655.0,8.640472207576408
51.0,10,13,2,71.0,1,64.0,2,0,0,1,1,210000.0,1,178748.0,997,1,3.0,5,0,4.0,0,0,26,40.0,0.0,1,1.0,6,0,52,27.0,21.0,11.0,1.0,0.0,0.0,0.0,2.0,25.0,5,0.0,0,0,0,1111.0,27.0,,,0.0,0,2019,29880.24,29880.24,178748.0,0.8358202609259965,0.8511809523809524,0,0.0,0.0,,18989.88,29880.24,0.5311913979457114,0.8358202609259965,0.5311913979457114,18989.88,29880.24,29880.24,178748.0,210000.0,0.8511809523809524,,21.0,0.0,0.0,0.0,0.4260461238492256,9.8517141429117,12.093737866135012,12.25486757159303,0.0,,,0,ID,128.24,6668.4800000000005,8.805297174851061
55.0,19,24,4,54.0,1,50.0,2,1,13,1,1,150000.0,1,58000.0,876,1,5.0,5,0,1.0,0,0,52,45.0,45.0,1,6.0,0,0,0,0.0,15.0,7.0,5.0,8.0,2.0,0.0,0.0,10.0,5,0.0,0,0,0,0.0,0.0,0.0,520.0,0.0,0,2019,33592.0,33592.0,58000.0,2.895862068965517,0.3866666666666666,1,0.0,0.0,,22545.640000000003,33592.00000000001,1.943589655172414,2.895862068965517,1.943589655172414,22545.640000000003,33592.00000000001,33592.0,58000.0,150000.0,0.3866666666666666,,15.0,8.0,2.0,0.0,1.079629807718573,10.023341331611595,10.968215530759236,11.918397239722838,0.0,,,0,MA,295.0,15340.0,9.638284261844774
