age,mrthel,mortbnd,hhsex,wgt,homeeq,networth,nh_mort,lf,income,married
70,195000.0,0,2,3027.9561204634942,479000.0,762100.0,195000.0,0,38804.73446893787,2
70,213000.0,0,2,3054.9000651229826,645000.0,854300.0,213000.0,0,38264.27855711423,2
70,279000.0,0,2,3163.6377656935083,478000.0,678200.0,279000.0,0,36102.45490981964,2
70,549000.0,0,2,3166.228463262177,161000.0,279600.0,549000.0,0,33508.26653306613,2
70,223000.0,0,2,3235.6247147258646,542000.0,602600.0,223000.0,0,35561.998997995994,2
46,487000.0,0,1,236.63475408400458,93000.0,721800.0,487000.0,1,224829.65931863728,2
46,487000.0,0,1,245.84839801710018,93000.0,723800.0,487000.0,1,224829.65931863728,2
46,487000.0,0,1,253.1034770119427,93000.0,721400.0,487000.0,1,224829.65931863728,2
46,487000.0,0,1,252.90811794901987,93000.0,724300.0,487000.0,1,224829.65931863728,2
46,487000.0,0,1,253.81131150645962,93000.0,722600.0,487000.0,1,224829.65931863728,2
68,0.0,0,1,678.8693074694265,629000.0,43597590.0,0.0,0,445335.67134268535,1
68,0.0,0,1,671.8323703623448,570000.0,44451510.0,0.0,0,461549.3486973948,1
68,0.0,0,1,619.9533487808426,1270000.0,41056890.0,0.0,0,469115.73146292585,1
68,0.0,0,1,691.5135947966958,2190000.0,44730180.0,0.0,0,444254.7595190381,1
68,0.0,0,1,671.7729155681716,2150000.0,43740180.0,0.0,0,502623.9979959919,1
74,0.0,0,2,621.9488538943858,0.0,2203000.0,0.0,0,152408.56713426852,2
74,0.0,0,2,653.2911760285475,0.0,2006000.0,0.0,0,149165.83166332665,2
74,0.0,0,2,597.1690739714556,0.0,2000000.0,0.0,0,145923.09619238478,2
74,0.0,0,2,611.8923897958964,0.0,2354000.0,0.0,0,145923.09619238478,2
74,0.0,0,2,612.0693479154959,0.0,2000000.0,0.0,0,144842.18436873748,2
19,0.0,0,2,7191.481108679977,0.0,4100.0,0.0,1,56207.41482965932,1
19,0.0,0,2,7352.48720467721,0.0,5500.0,0.0,1,58369.238476953906,1
19,0.0,0,2,7270.703540673554,0.0,4500.0,0.0,1,61611.9739478958,1
19,0.0,0,2,7383.866596488243,0.0,5600.0,0.0,1,67016.53306613227,1
19,0.0,0,2,7330.537668639445,0.0,4500.0,0.0,1,59450.1503006012,1
74,111000.0,36000,1,3486.222887985491,589000.0,7232000.0,111000.0,0,283198.89779559115,1
