Variable,HM Mean,HM Median,HM SD,DI Mean,DI Median,DI SD,Diff,T-stat,T-p,MW-p
DRMI (winsorized),3.999822232157571,1.9027333333333327,6.686645474967812,1.9376402555914523,0.7139052631578948,4.678026817098808,2.0621819765661185,6.177000782952069,1.3368519365538257e-09,4.234526513759671e-39
DSV Annual ($),66843.80005649201,51979.2,53658.38086258563,26616.859027170867,17326.4,31988.89335381262,40226.94102932114,15.295429815630378,2.064337466911039e-43,2.2206405932733235e-75
Mortgage Balance ($),178997.8223234624,150000.0,132640.1699008947,179699.51715686274,150000.0,134731.75660446868,-701.6948334003391,-0.10297675224657285,0.9180166701170094,0.9944963556866183
Home Value ($),332677.93394077447,250000.0,258719.93305739248,343507.3469887955,275000.0,252123.84495317866,-10829.41304802103,-0.8192566555092812,0.41298041267911034,0.1640470466541959
Loan-to-Value Ratio,0.5739808957661289,0.583345,0.2388752257581619,0.5582861208814318,0.5757192982456141,0.24713674265567415,0.01569477488469706,1.2756788333376639,0.20256979460145122,0.28687314038296197
DTI Ratio (proxy),0.5801755065054535,0.2236842105263158,0.7127309289604815,0.3673064087450407,0.22416666666666665,0.42415429924022024,0.21286909776041274,4.031778900750052,7.924268599012135e-05,0.5382091378200234
Monthly Payment ($),1646.3935926773456,1200.0,4821.001003422915,1775.9610115911487,1250.0,5895.7584917879585,-129.56741891380307,-0.5066688335894063,0.6125580058854583,0.17843755458655208
Number of Children,1.671981776765376,2.0,1.462441019264358,0.9863445378151261,1.0,1.1837290711250483,0.6856372389502499,9.362949522045291,2.2017081014356644e-19,6.393884006117604e-22
Age of Head,45.50797266514807,43.0,13.13503124779417,47.66631652661064,45.0,13.306635554857321,-2.1583438614625763,-3.1997321483787093,0.0014500401801859969,0.0005454505587552119
Age of Wife,43.80865603644647,40.0,12.946493954885414,40.996847635726795,42.0,18.600481600684546,2.811808400719677,3.964674356340273,8.054223503055207e-05,0.6162339758204911
Housework Hours/Week,25.428440366972442,21.0,15.298608406359891,11.726843033509697,10.0,9.784365043793649,13.701597333462745,18.13906949068474,1.162292111042205e-56,7.44427553491702e-86
Childcare Hours/Week,49.47597254004577,35.0,55.214074577491424,18.00284090909091,3.0,32.00600508304233,31.473131630954857,11.61697606719201,1.115999191438778e-27,9.321869238697794e-40
Elder Care Hours/Week,1.968837209302322,0.0,7.030287857741973,0.8167441860465107,0.0,4.179019947411668,1.1520930232558113,3.30943573165781,0.001005663510923704,0.0024849470856532357
Default Rate,0.015945330296127564,0.0,0.1254069420486315,0.01680672268907563,0.0,0.1285692210144706,-0.0008613923929480655,-0.1335336308303941,0.8938170101874263,0.8957641550891873
